Sota name;Parent name;Clue;Wiki
Категория 1;;Краткое описание категории 1;Описание категории 1
Группа 1А;Категория 1;Краткое описание группы 1А;Описание группы 1А
Элемент 1А1;Группа 1А;Краткое описание элемента 1А1;Описание элемента 1А1
Элемент 1А2;Группа 1А;Краткое описание элемента 1А2;Описание элемента 1А2
Элемент 1А3;Группа 1А;Краткое описание элемента 1А3;Описание элемента 1А3
Группа 1Б;Категория 1;Краткое описание группы 1Б;Описание группы 1Б
Элемент 1Б1;Группа 1Б;Краткое описание элемента 1Б1;Описание элемента 1Б1
Элемент 1Б2;Группа 1Б;Краткое описание элемента 1Б2;Описание элемента 1Б2
Элемент 1Б3;Группа 1Б;Краткое описание элемента 1Б3;Описание элемента 1Б3
Группа 1В;Категория 1;Краткое описание группы 1В;Описание группы 1В
Элемент 1В1;Группа 1В;Краткое описание элемента 1В1;Описание элемента 1В1
Элемент 1В2;Группа 1В;Краткое описание элемента 1В2;Описание элемента 1В2
Элемент 1В3;Группа 1В;Краткое описание элемента 1В3;Описание элемента 1В3
Категория 2;;Краткое описание категории 2;Описание категории 2
Группа 2А;Категория 2;Краткое описание группы 2А;Описание группы 2А
Элемент 2А1;Группа 2А;Краткое описание элемента 2А1;Описание элемента 2А1
Элемент 2А2;Группа 2А;Краткое описание элемента 2А2;Описание элемента 2А2
Элемент 2А3;Группа 2А;Краткое описание элемента 2А3;Описание элемента 2А3
Группа 2Б;Категория 2;Краткое описание группы 2Б;Описание группы 2Б
Элемент 2Б1;Группа 2Б;Краткое описание элемента 2Б1;Описание элемента 2Б1
Элемент 2Б2;Группа 2Б;Краткое описание элемента 2Б2;Описание элемента 2Б2
Элемент 2Б3;Группа 2Б;Краткое описание элемента 2Б3;Описание элемента 2Б3
Группа 2В;Категория 2;Краткое описание группы 2В;Описание группы 2В
Элемент 2В1;Группа 2В;Краткое описание элемента 2В1;Описание элемента 2В1
Элемент 2В2;Группа 2В;Краткое описание элемента 2В2;Описание элемента 2В2
Элемент 2В3;Группа 2В;Краткое описание элемента 2В3;Описание элемента 2В3
Категория 3;;Краткое описание категории 3;Описание категории 3
Группа 3А;Категория 3;Краткое описание группы 3А;Описание группы 3А
Элемент 3А1;Группа 3А;Краткое описание элемента 3А1;Описание элемента 3А1
Элемент 3А2;Группа 3А;Краткое описание элемента 3А2;Описание элемента 3А2
Элемент 3А3;Группа 3А;Краткое описание элемента 3А3;Описание элемента 3А3
Группа 3Б;Категория 3;Краткое описание группы 3Б;Описание группы 3Б
